field,G;intensity,a.u.
3107.71;2381
3107.81;2383
3107.91;2384
3108.01;2383
3108.11;2386
3108.21;2384
3108.31;2383
3108.41;2378
3108.51;2375
3108.61;2373
3108.71;2374
3108.81;2373
3108.91;2370
3109.01;2369
3109.11;2373
3109.21;2376
3109.31;2378
3109.41;2377
3109.51;2377
3109.61;2376
3109.71;2377
3109.81;2374
3109.91;2372
3110.01;2368
3110.11;2368
3110.21;2366
3110.31;2369
3110.41;2372
3110.51;2377
3110.61;2377
3110.71;2383
3110.81;2383
3110.91;2383
3111.02;2380
3111.12;2383
3111.22;2372
3111.32;2369
3111.42;2365
3111.52;2363
3111.62;2358
3111.72;2359
3111.82;2358
3111.92;2358
3112.02;2358
3112.12;2356
3112.22;2354
3112.32;2352
3112.42;2352
3112.52;2354
3112.62;2355
3112.72;2357
3112.82;2355
3112.92;2351
3113.02;2348
3113.12;2345
3113.22;2346
3113.32;2345
3113.42;2344
3113.52;2345
3113.62;2344
3113.72;2345
3113.82;2344
3113.92;2341
3114.02;2341
3114.12;2343
3114.22;2345
3114.32;2348
3114.42;2353
3114.52;2355
3114.62;2359
3114.72;2360
3114.82;2361
3114.92;2357
3115.02;2356
3115.12;2351
3115.22;2347
3115.32;2342
3115.42;2343
3115.52;2340
3115.62;2339
3115.72;2340
3115.82;2343
3115.92;2341
3116.02;2342
3116.12;2341
3116.22;2342
3116.32;2343
3116.42;2342
3116.52;2340
3116.62;2343
3116.72;2343
3116.82;2342
3116.92;2341
3117.02;2341
3117.12;2337
3117.22;2338
3117.32;2338
3117.42;2339
3117.52;2338
3117.62;2339
3117.72;2335
3117.82;2330
3117.92;2324
3118.02;2321
3118.12;2317
3118.22;2315
3118.32;2314
3118.42;2316
3118.52;2317
3118.62;2320
3118.72;2321
3118.82;2320
3118.92;2319
3119.03;2318
3119.13;2321
3119.23;2322
3119.33;2324
3119.43;2325
3119.53;2331
3119.63;2328
3119.73;2326
3119.83;2321
3119.93;2316
3120.03;2311
3120.13;2312
3120.23;2311
3120.33;2312
3120.43;2309
3120.53;2308
3120.63;2308
3120.73;2310
3120.83;2308
3120.93;2312
3121.03;2314
3121.13;2314
3121.23;2313
3121.33;2314
3121.43;2313
3121.53;2315
3121.63;2317
3121.73;2323
3121.83;2323
3121.93;2320
3122.03;2316
3122.13;2312
3122.23;2307
3122.33;2310
3122.43;2311
3122.53;2311
3122.63;2312
3122.73;2314
3122.83;2312
3122.93;2310
3123.03;2308
3123.13;2306
3123.23;2307
3123.33;2304
3123.43;2301
3123.53;2299
3123.63;2296
3123.73;2293
3123.83;2295
3123.93;2294
3124.03;2297
3124.13;2297
3124.23;2293
3124.33;2291
3124.43;2290
3124.53;2286
