field,G;intensity,a.u.;I, A
3301.08;2044;0.75
3301.18;2043;0.75
3301.28;2038;0.75
3301.38;2036;0.75
3301.48;2036;0.75
3301.58;2037;0.75
3301.68;2038;0.75
3301.78;2041;0.75
3301.88;2038;0.75
3301.98;2037;0.75
3302.08;2038;0.75
3302.18;2033;0.75
3302.28;2028;0.75
3302.38;2024;0.75
3302.48;2018;0.75
3302.58;2016;0.75
3302.68;2014;0.75
3302.78;2014;0.75
3302.88;2018;0.75
3302.98;2025;0.75
3303.08;2033;0.75
3303.18;2039;0.75
3303.28;2044;0.75
3303.38;2048;0.75
3303.48;2051;0.75
3303.58;2054;0.75
3303.68;2057;0.75
3303.78;2061;0.75
3303.88;2063;0.75
3303.98;2067;0.75
3304.08;2069;0.75
3268.14;1989;1
3268.24;1997;1
3268.34;2000;1
3268.44;2002;1
3268.54;2001;1
3268.64;2005;1
3268.74;2008;1
3268.84;2013;1
3268.94;2024;1
3269.04;2028;1
3269.14;2035;1
3269.24;2032;1
3269.34;2034;1
3269.44;2032;1
3269.54;2028;1
3269.64;2032;1
3269.74;2029;1
3269.84;2029;1
3269.94;2031;1
3270.04;2033;1
3270.14;2033;1
3270.24;2034;1
3270.34;2036;1
3270.44;2033;1
3270.54;2032;1
3270.64;2033;1
3270.74;2034;1
3270.84;2036;1
3270.94;2036;1
3271.04;2037;1
3271.14;2035;1
3271.24;2033;1
3271.34;2032;1
3271.44;2032;1
3271.54;2031;1
3271.64;2028;1
3271.74;2027;1
3271.84;2026;1
3271.94;2023;1
3272.04;2021;1
3272.14;2018;1
3272.24;2015;1
3272.34;2016;1
3272.44;2018;1
3272.54;2020;1
3272.64;2022;1
3272.74;2031;1
3272.84;2033;1
3272.94;2039;1
3273.04;2032;1
3273.14;2033;1
3273.24;2030;1
3273.34;2022;1
3273.44;2022;1
3273.54;2024;1
3273.64;2026;1
3273.74;2026;1
3273.84;2025;1
3273.94;2023;1
3274.04;2022;1
3274.14;2023;1
3274.24;2021;1
3274.34;2019;1
3274.44;2019;1
3274.54;2017;1
3274.64;2019;1
3274.74;2020;1
3274.84;2020;1
3274.94;2017;1
3275.05;2013;1
3275.15;2011;1
3275.25;2009;1
3275.35;2011;1
3275.45;2015;1
3275.55;2018;1
3275.65;2024;1
3275.75;2028;1
3275.85;2030;1
3275.95;2028;1
3276.05;2029;1
3276.15;2026;1
3276.25;2025;1
3276.35;2021;1
3276.45;2014;1
3276.55;2014;1
3276.65;2007;1
3276.75;2013;1
3276.85;2007;1
3276.95;2004;1
3277.05;2002;1
3277.15;1997;1
3277.25;1997;1
3277.35;1995;1
3277.45;1994;1
3277.55;1995;1
3277.65;1997;1
3277.75;1998;1
3277.85;1997;1
3277.95;1993;1
3278.05;1997;1
3278.15;1997;1
3278.25;1998;1
3278.35;2000;1
3278.45;1995;1
3278.55;1987;1
3278.65;1979;1
3278.75;1973;1
3278.85;1974;1
3278.95;1972;1
3279.05;1968;1
3279.15;1969;1
3279.25;1968;1
3279.35;1967;1
3279.45;1968;1
3279.55;1966;1
3279.65;1963;1
3279.75;1961;1
3279.85;1958;1
3279.95;1952;1
3280.05;1948;1
3280.15;1944;1
3280.25;1933;1
3280.35;1933;1
3280.45;1916;1
3280.55;1911;1
3280.65;1904;1
3280.75;1894;1
3280.85;1882;1
3280.95;1871;1
3281.05;1863;1
3281.15;1855;1
3281.25;1844;1
3281.35;1836;1
3281.45;1826;1
3281.55;1814;1
3281.65;1802;1
3281.75;1787;1
3281.85;1767;1
3281.95;1747;1
3282.05;1726;1
3282.15;1704;1
3282.25;1675;1
3282.35;1638;1
3282.45;1597;1
3282.55;1556;1
3282.65;1515;1
3282.75;1472;1
3282.85;1425;1
3282.95;1380;1
3283.06;1340;1
3283.16;1302;1
3283.26;1265;1
3283.36;1232;1
3283.46;1207;1
3283.56;1180;1
3283.66;1161;1
3283.76;1144;1
3283.86;1137;1
3283.96;1138;1
3284.06;1136;1
3284.16;1149;1
3284.26;1170;1
3284.36;1200;1
3284.46;1236;1
3284.56;1278;1
3284.66;1327;1
3284.76;1383;1
3284.86;1444;1
3284.96;1509;1
3285.06;1577;1
3285.16;1650;1
3285.26;1724;1
3285.36;1797;1
3285.46;1873;1
3285.56;1953;1
3285.66;2038;1
3285.76;2126;1
3285.86;2213;1
3285.96;2298;1
3286.06;2383;1
3286.16;2463;1
3286.26;2538;1
3286.36;2609;1
3286.46;2668;1
3286.56;2718;1
3286.66;2762;1
3286.76;2803;1
3286.86;2837;1
3286.96;2859;1
3287.06;2871;1
3287.16;2877;1
3287.26;2880;1
3287.36;2867;1
3287.46;2855;1
3287.56;2833;1
3287.66;2806;1
3287.76;2787;1
3287.86;2759;1
3287.96;2729;1
3288.06;2697;1
3288.16;2661;1
3288.26;2624;1
3288.36;2591;1
3288.46;2560;1
3288.56;2525;1
3288.66;2492;1
3288.76;2465;1
3288.86;2437;1
3288.96;2411;1
3289.06;2388;1
3289.16;2369;1
3289.26;2348;1
3289.36;2328;1
3289.46;2310;1
3289.56;2293;1
3289.66;2277;1
3289.76;2263;1
3289.86;2249;1
3289.96;2238;1
3290.06;2226;1
3290.16;2218;1
3290.26;2208;1
3290.36;2203;1
3290.46;2196;1
3290.56;2191;1
3290.66;2186;1
3290.76;2180;1
3290.86;2177;1
3290.96;2162;1
3291.07;2160;1
3291.17;2153;1
3291.27;2147;1
3291.37;2147;1
3291.47;2142;1
3291.57;2138;1
3291.67;2133;1
3291.77;2126;1
3291.87;2129;1
3291.97;2129;1
3292.07;2127;1
3292.17;2128;1
3292.27;2124;1
3292.37;2118;1
3292.47;2117;1
3292.57;2116;1
3292.67;2117;1
3292.77;2116;1
3292.87;2111;1
3292.97;2105;1
3293.07;2098;1
3293.17;2092;1
3293.27;2087;1
3293.37;2084;1
3293.47;2083;1
3293.57;2085;1
3293.67;2086;1
3293.77;2088;1
3293.87;2087;1
3293.97;2087;1
3294.07;2085;1
3294.17;2085;1
3294.27;2086;1
3294.37;2083;1
3294.47;2087;1
3294.57;2082;1
3294.67;2083;1
3294.77;2073;1
3294.87;2071;1
3294.97;2070;1
3295.07;2066;1
3295.17;2066;1
3295.27;2064;1
3295.37;2062;1
3295.47;2058;1
3295.57;2057;1
3295.67;2054;1
3295.77;2049;1
3295.87;2050;1
3295.97;2053;1
3296.07;2052;1
3296.17;2053;1
3296.27;2056;1
